group,code5,scan_date,go_60,consolidation_60,placing_60,rights_60,go_120,consolidation_120,placing_120,rights_120,go_180,consolidation_180,placing_180,rights_180
signal,00018,2026-07-31,0,0,0,0,0,0,0,0,0,0,0,0
signal,00021,2025-09-08,0,0,0,0,0,0,0,0,0,0,0,0
signal,00022,2025-08-05,0,0,0,0,0,0,0,0,0,0,0,0
signal,00036,2025-07-30,0,0,0,0,0,0,0,0,0,0,0,0
signal,00037,2025-12-16,0,0,0,0,0,0,0,0,0,0,0,0
signal,00040,2025-10-28,0,0,0,0,0,0,0,0,0,0,0,0
signal,00042,2025-07-21,0,0,0,0,0,0,0,0,0,0,0,0
signal,00046,2025-08-27,0,0,0,0,0,0,0,0,0,0,0,0
signal,00048,2026-01-05,0,0,0,0,0,0,0,0,0,0,0,0
signal,00052,2026-03-11,0,0,0,0,0,0,0,0,0,0,0,0
signal,00058,2026-03-09,0,0,0,0,0,0,0,0,0,0,0,0
signal,00060,2025-08-19,0,0,0,0,0,0,0,0,0,0,0,0
signal,00061,2025-07-23,0,0,0,0,0,0,0,0,0,0,0,0
signal,00065,2025-08-27,0,0,0,0,0,0,0,0,0,0,0,0
signal,00076,2025-12-17,0,0,0,0,0,0,0,0,0,0,0,0
signal,00077,2026-08-06,0,0,0,0,0,0,0,0,0,0,0,0
signal,00078,2025-09-10,0,0,0,0,0,0,0,0,0,0,0,0
signal,00079,2026-02-04,0,0,0,0,0,0,0,0,0,0,0,0
signal,00082,2026-04-08,0,0,0,0,0,0,0,0,0,0,0,0
signal,00090,2025-07-10,0,0,0,0,0,0,0,0,0,0,0,0
signal,00092,2025-08-01,0,0,0,0,0,0,0,0,0,0,1,0
signal,00094,2025-09-11,0,0,0,0,0,0,0,0,0,0,0,0
signal,00096,2025-08-06,0,0,0,0,0,0,0,0,0,0,0,0
signal,00097,2025-08-20,0,0,0,0,0,0,0,0,0,0,0,0
signal,00104,2025-07-21,0,0,0,0,0,0,0,0,0,0,0,0
signal,00110,2026-04-10,0,0,0,0,0,0,0,0,0,0,0,0
signal,00111,2025-11-20,0,0,0,0,0,0,0,0,0,0,0,0
