code5,name,scan_date,appearance_seq,days_since_first,entry_close,entry_intraday,entry_intraday_note,price_missing,days_available,ret_t5,ret_t10,ret_t20,ret_t60,max_ret_20,min_ret_20,ret_t5_est,ret_t10_est,ret_t20_est,ret_t60_est,max_ret_20_est,min_ret_20_est,has_capital_action,fu_go,fu_rights,fu_placing,fu_consolidation,fu_cb,first_action_type,first_action_days
00018,東方傳媒集團,2026-07-31,1,0,0.225,0.225,eod_proxy,0,27,-5.3333,4.8889,-5.3333,,4.8889,-5.3333,0,0,0,0,0,0,0,0,0,0,0,0,,
00021,大中華控股,2025-09-08,1,0,0.118,0.118,eod_proxy,0,245,-7.6271,-17.7966,-12.7119,-16.9492,0.8475,-17.7966,0,0,0,0,0,0,0,0,0,0,0,0,,
00022,茂盛控股,2025-08-05,1,0,8.6,8.6,eod_proxy,0,269,-4.6512,-28.4884,-23.2558,-44.186,-2.907,-29.0698,0,0,0,0,0,0,0,0,0,0,0,0,,
00036,遠東控股國際,2025-07-30,1,0,0.52,0.52,eod_proxy,0,127,-46.1538,-46.1538,-44.2308,-48.0769,7.6923,-49.0385,0,0,0,0,0,0,0,0,0,0,0,0,,
00037,遠東酒店實業,2025-12-16,1,0,0.435,0.435,eod_proxy,0,177,0.0,3.4483,10.3448,37.931,10.3448,-3.4483,0,0,0,0,0,0,0,0,0,0,0,0,,
00040,金山科技工業,2025-10-28,1,0,0.702,0.702,eod_proxy,0,211,-2.849,0.0,7.1225,5.4131,8.547,-2.849,0,0,0,0,0,0,0,0,0,0,0,0,,
00042,東北電氣,2025-07-21,1,0,0.345,0.345,eod_proxy,0,280,-7.2464,-15.942,-10.1449,-10.1449,-7.2464,-17.3913,0,0,0,0,0,0,0,0,0,0,0,0,,
00046,科聯系統,2025-08-27,1,0,1.72,1.72,eod_proxy,0,253,-0.8721,-3.7791,-0.8721,-11.9186,0.2907,-3.7791,0,0,0,0,0,0,0,0,0,0,0,0,,
00048,中國汽車內飾,2026-01-05,1,0,0.162,0.162,eod_proxy,0,166,48.1481,23.4568,82.0988,54.321,103.7037,18.5185,0,0,0,0,0,0,0,0,0,0,0,0,,
00052,大快活集團,2026-03-11,1,0,4.44,4.44,eod_proxy,0,122,-2.9279,-2.9279,-8.1081,-13.2883,-1.3514,-8.7838,0,0,0,0,0,0,0,0,0,0,0,0,,
00058,新威國際,2026-03-09,1,0,0.29,0.29,eod_proxy,0,124,15.5172,12.069,-3.4483,-13.7931,25.8621,-3.4483,0,0,0,0,0,0,0,0,0,0,0,0,,
00060,香港食品投資,2025-08-19,1,0,0.46,0.46,eod_proxy,0,259,-1.087,0.0,0.0,-8.6957,3.2609,-2.1739,0,0,0,0,0,0,0,0,0,0,0,0,,
00061,綠領控股,2025-07-23,1,0,0.432,0.432,eod_proxy,0,278,-5.5556,-11.1111,-17.5926,-27.7778,4.6296,-20.3704,0,0,0,0,0,0,0,0,0,0,0,0,,
00065,弘海高新資源,2025-08-27,1,0,0.49,0.49,eod_proxy,0,253,-7.1429,-6.1224,-17.3469,-21.4286,16.3265,-17.3469,0,0,0,0,0,0,0,0,0,0,0,0,,
00076,誼礫控股,2025-12-17,1,0,0.204,0.204,eod_proxy,0,176,-33.3333,-32.3529,-16.6667,-17.1569,-9.3137,-33.3333,0,0,0,0,0,0,0,0,0,0,0,0,,
00077,進智公共交通,2026-08-06,1,0,0.51,0.51,eod_proxy,0,23,9.8039,8.8235,-5.8824,,11.7647,-5.8824,0,0,0,0,0,0,0,0,0,0,0,0,,
00078,富豪酒店,2025-09-10,1,0,0.64,0.64,eod_proxy,0,243,7.8125,-4.6875,1.5625,-14.0625,9.375,-7.8125,0,0,0,0,0,0,0,0,0,0,0,0,,
00079,世紀建業,2026-02-04,1,0,0.125,0.125,eod_proxy,0,144,-21.6,-17.6,-32.8,-35.2,-16.8,-32.8,0,0,0,0,0,0,0,0,0,0,0,0,,
00082,瘋狂體育,2026-04-08,1,0,0.085,0.085,eod_proxy,0,105,-1.1765,-3.5294,7.0588,-4.7059,7.0588,-7.0588,0,0,0,0,0,0,0,0,0,0,0,0,,
