scan_date,code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time,mcap_unreliable
2025-06-26,08293,8293.HK,星亞控股,0.094,70.91,513130,20213769.0,20213769.0,1444,355.35,2.54,10,0,0,2026-09-08 12:44:41,1
2025-06-26,08226,8226.HK,樹熊金融集團,0.148,7.25,1905470,61790591.0,61790591.0,5266,361.84,3.08,10,0,0,2026-09-08 12:44:40,1
2025-06-26,01235,1235.HK,專業旅運,0.165,13.01,1422750,84126735.0,84126735.0,9409,151.21,1.69,10,0,0,2026-09-08 12:44:18,1
2025-06-26,01647,1647.HK,雄岸科技,0.085,11.84,8403100,101578400.0,101578400.0,407930,20.6,8.27,10,0,0,2026-09-08 12:44:22,1
2025-06-26,08267,8267.HK,藍港互動,0.33,15.79,3091200,121932678.0,121932678.0,122800,25.17,2.54,10,0,0,2026-09-08 12:44:40,1
2025-06-26,02212,2212.HK,高鵬礦業,0.1,0.0,590820,126389920.0,126389920.0,700,844.03,0.47,10,0,0,2026-09-08 12:44:27,1
2025-06-26,00510,510.HK,時富金融服務集團,0.295,9.26,762300,127196560.0,127196560.0,62229,12.25,0.6,10,0,0,2026-09-08 12:44:10,1
2025-06-26,08350,8350.HK,立橋證券控股,0.142,-11.25,732890,134909088.0,134909088.0,23865,30.71,0.54,10,0,0,2026-09-08 12:44:41,1
2025-06-26,01987,1987.HK,BENG SOON MACH,0.136,3.82,719460,136000000.0,136000000.0,21496,33.47,0.53,10,0,0,2026-09-08 12:44:26,1
2025-06-26,01305,1305.HK,偉志控股,0.79,0.0,500720,171134540.0,171134540.0,2102,238.21,0.29,10,0,0,2026-09-08 12:44:18,1
2025-06-26,01150,1150.HK,米蘭站,0.164,12.33,687820,173337611.0,173337611.0,44638,15.41,0.4,10,0,0,2026-09-08 12:44:17,1
